DATE,IPUTIL
1986-04-01,61.7981
1986-05-01,62.5087
1986-06-01,62.8751
1986-07-01,64.0092
1986-08-01,62.4345
1986-09-01,63.0372
1986-10-01,63.4424
1986-11-01,63.4719
1986-12-01,64.3671
1987-01-01,63.4424
1987-02-01,64.0534
1987-03-01,64.7398
1987-04-01,65.3590
1987-05-01,65.8408
1987-06-01,66.5840
1987-07-01,66.7020
1987-08-01,67.5866
1987-09-01,66.1551
1987-10-01,66.8083
1987-11-01,66.8319
1987-12-01,66.8394
1988-01-01,68.6691
1988-02-01,70.0938
1988-03-01,69.8354
1988-04-01,69.0598
1988-05-01,68.8374
1988-06-01,69.7542
1988-07-01,70.4265
1988-08-01,72.8822
1988-09-01,69.5388
1988-10-01,70.0137
1988-11-01,69.6521
1988-12-01,70.0716
1989-01-01,67.7281
1989-02-01,71.1282
1989-03-01,73.0043
1989-04-01,71.0399
1989-05-01,71.3671
1989-06-01,71.1949
1989-07-01,71.5673
1989-08-01,72.4899
1989-09-01,71.5351
1989-10-01,72.4616
1989-11-01,73.1406
1989-12-01,78.4071
1990-01-01,72.4922
1990-02-01,71.5800
1990-03-01,72.5864
1990-04-01,73.0631
1990-05-01,73.4771
1990-06-01,74.2275
1990-07-01,73.9810
1990-08-01,74.6950
1990-09-01,75.5787
1990-10-01,74.4303
1990-11-01,72.8816
1990-12-01,73.3762
1991-01-01,74.6566
1991-02-01,72.7528
1991-03-01,73.7288
1991-04-01,73.6763
1991-05-01,76.8779
1991-06-01,77.1589
1991-07-01,76.5596
1991-08-01,76.0120
1991-09-01,75.8848
1991-10-01,75.8002
1991-11-01,76.5281
1991-12-01,74.5045
1992-01-01,74.1502
1992-02-01,74.6279
1992-03-01,74.3684
1992-04-01,76.0836
1992-05-01,75.0230
1992-06-01,73.9272
1992-07-01,74.3817
1992-08-01,74.1517
1992-09-01,75.2641
1992-10-01,76.5264
1992-11-01,77.1839
1992-12-01,78.4682
1993-01-01,75.8157
1993-02-01,77.8878
1993-03-01,78.6764
1993-04-01,77.7610
1993-05-01,75.6480
1993-06-01,77.5687
1993-07-01,78.6784
1993-08-01,79.1688
1993-09-01,78.2782
1993-10-01,78.0172
1993-11-01,78.5271
1993-12-01,78.8462
1994-01-01,81.1567
1994-02-01,80.3447
1994-03-01,79.0312
1994-04-01,78.2701
1994-05-01,77.9350
1994-06-01,81.2786
1994-07-01,79.8345
1994-08-01,79.2817
1994-09-01,79.2173
1994-10-01,79.4969
1994-11-01,78.9643
1994-12-01,79.0566
1995-01-01,79.6847
1995-02-01,80.4123
1995-03-01,80.3568
1995-04-01,81.1073
1995-05-01,82.3292
1995-06-01,81.7822
1995-07-01,82.8019
1995-08-01,86.1018
1995-09-01,82.5422
1995-10-01,82.6297
1995-11-01,83.6711
1995-12-01,84.3178
1996-01-01,85.0957
1996-02-01,86.1955
1996-03-01,85.9559
1996-04-01,85.3720
1996-05-01,86.2724
1996-06-01,85.1263
1996-07-01,82.1954
1996-08-01,83.2514
1996-09-01,82.9029
1996-10-01,83.7628
1996-11-01,85.2681
1996-12-01,84.3108
1997-01-01,85.0662
1997-02-01,84.0974
1997-03-01,82.2397
1997-04-01,84.2000
1997-05-01,83.0323
1997-06-01,82.6480
1997-07-01,84.4134
1997-08-01,84.0458
1997-09-01,85.0105
1997-10-01,86.5413
1997-11-01,86.4630
1997-12-01,86.0918
1998-01-01,82.6648
1998-02-01,83.6118
1998-03-01,86.1202
1998-04-01,85.3053
1998-05-01,86.9994
1998-06-01,88.4270
1998-07-01,88.6943
1998-08-01,88.1890
1998-09-01,89.6606
1998-10-01,88.7417
1998-11-01,86.4831
1998-12-01,86.6832
1999-01-01,88.6877
1999-02-01,87.2428
1999-03-01,89.8724
1999-04-01,89.2373
1999-05-01,88.4808
1999-06-01,89.7584
1999-07-01,91.6947
1999-08-01,90.5696
1999-09-01,89.9675
1999-10-01,89.6781
1999-11-01,88.3859
